Date,Open,High,Low,Close,Adj Close,Volume
12/16/19,63.59,66.389999,63.560001,66.349998,66.349998,3282800
12/17/19,66.620003,66.620003,65.400002,66.169998,66.169998,2301000
12/18/19,66.220001,68.139999,66.040001,67.599998,67.599998,2237000
12/19/19,67.75,68.459999,67.099998,68.18,68.18,1610500
12/20/19,68.199997,68.480003,66.415001,66.93,66.93,2201400
12/23/19,67.019997,67.5,65.93,66.150002,66.150002,1663500
12/24/19,66.300003,66.885002,65.739998,66.459999,66.459999,562600
12/26/19,66.5,68.190002,66.300003,67.449997,67.449997,1387600
12/27/19,67.510002,67.959999,66.510002,66.639999,66.639999,955400
12/30/19,66.559998,67.18,65.519997,66.790001,66.790001,1162700
12/31/19,66.379997,68.18,66.309998,68.040001,68.040001,1351400
1/2/20,68.800003,69.235001,68.019997,68.720001,68.720001,1315500
1/3/20,67.620003,68.68,67.099998,67.279999,67.279999,1127900
1/6/20,66.629997,70.495003,65.811996,70.32,70.32,3151600
1/7/20,70.290001,72.838997,69.370003,71.900002,71.900002,6985400
1/8/20,71.809998,73.290001,71.029999,72.550003,72.550003,2482300
1/9/20,73.989998,74,71.349998,72.620003,72.620003,2772000
1/10/20,73.080002,73.800003,72.25,73.089996,73.089996,1655100
1/13/20,73.889999,75.580002,73.800003,74.029999,74.029999,3347100
1/14/20,74.32,75.114998,72.260002,73.160004,73.160004,1909500
1/15/20,73.279999,77.779999,73.199997,76.940002,76.940002,3963500
1/16/20,78,78.790001,75.110001,76.110001,76.110001,2998300
1/17/20,76.660004,76.900002,75.489998,75.559998,75.559998,1357400
1/21/20,75.559998,77.120003,74.32,76.730003,76.730003,1606700
1/22/20,77.07,77.106003,75.459999,75.540001,75.540001,1501600
1/23/20,75.669998,75.970001,74.209999,74.470001,74.470001,1279000
1/24/20,74.970001,76.184998,72.375,73,73,1660200
1/27/20,71.330002,72.132004,70.32,70.440002,70.440002,1750700
1/28/20,71,72.480003,70.260002,71.510002,71.510002,1598200
1/29/20,72.510002,74.139999,71.212997,73.580002,73.580002,1373400
1/30/20,73.099998,74.800003,72.550003,74.540001,74.540001,1425400
1/31/20,74.269997,76.669998,73.300003,76.300003,76.300003,2521700
2/3/20,77.690002,88.940002,77.510002,87.660004,87.660004,13023400
